Id,Course,Attn_Date,Attn_Hours
626161,AdClassSched_49303,2/15/2020,60
626161,AdClassSched_49303,2/24/2020,60
502675,AdClassSched_49346,2/10/2020,60
502675,AdClassSched_49346,2/24/2020,60
502675,AdClassSched_49346,2/4/2020,60
502675,AdClassSched_49346,2/18/2020,60
502675,AdClassSched_49346,1/20/2020,60
502675,AdClassSched_49346,1/14/2020,60
502675,AdClassSched_49346,1/27/2020,60
638828,AdClassSched_49003,2/4/2020,60
638828,AdClassSched_49003,1/21/2020,60
638828,AdClassSched_49003,2/11/2020,60
638828,AdClassSched_49003,1/16/2020,60
638828,AdClassSched_49003,1/28/2020,60
638828,AdClassSched_49003,2/20/2020,60
623332,AdClassSched_49303,2/11/2020,60
623332,AdClassSched_49303,2/4/2020,60
623332,AdClassSched_49303,2/22/2020,60
623332,AdClassSched_49303,1/16/2020,60
623332,AdClassSched_49303,1/28/2020,60
508881,AdClassSched_56992,2/9/2020,60
508881,AdClassSched_56992,2/13/2020,60
508881,AdClassSched_56992,1/20/2020,60
508881,AdClassSched_56992,1/24/2020,60
508881,AdClassSched_56992,2/1/2020,60
508881,AdClassSched_56992,2/18/2020,60
617709,AdClassSched_49347,2/14/2020,60
617709,AdClassSched_49347,2/24/2020,60
617709,AdClassSched_49347,2/5/2020,60
617709,AdClassSched_49347,2/18/2020,60
617709,AdClassSched_49347,1/20/2020,60
617709,AdClassSched_49347,1/15/2020,60
618794,AdClassSched_49003,2/4/2020,60
618794,AdClassSched_49003,1/20/2020,60
618794,AdClassSched_49003,2/10/2020,60
618794,AdClassSched_49003,2/25/2020,60
618794,AdClassSched_49003,1/14/2020,60
618794,AdClassSched_49003,1/27/2020,60
618794,AdClassSched_49003,2/17/2020,60
644462,AdClassSched_49304,2/12/2020,60
644462,AdClassSched_49304,2/4/2020,60
644462,AdClassSched_49304,2/18/2020,60
644462,AdClassSched_49304,1/22/2020,60
618650,AdClassSched_49348,2/16/2020,60
618650,AdClassSched_49348,2/7/2020,60
517352,AdClassSched_56994,2/4/2020,60
618650,AdClassSched_49348,2/22/2020,60
517352,AdClassSched_56994,2/16/2020,60
618650,AdClassSched_49348,1/26/2020,60
517352,AdClassSched_56994,1/17/2020,60
618650,AdClassSched_49348,1/18/2020,60
517352,AdClassSched_56994,1/22/2020,60
517352,AdClassSched_56994,1/29/2020,60
517352,AdClassSched_56994,2/23/2020,60
634312,AdClassSched_49003,2/10/2020,60
634312,AdClassSched_49003,2/17/2020,60
613395,AdClassSched_56994,2/3/2020,60
613395,AdClassSched_56994,2/11/2020,60
613395,AdClassSched_56994,1/21/2020,60
613395,AdClassSched_56994,1/27/2020,60
613395,AdClassSched_56994,2/24/2020,60
613395,AdClassSched_56994,2/18/2020,60
644457,AdClassSched_49305,2/17/2020,60
644457,AdClassSched_49305,2/8/2020,60
644457,AdClassSched_49305,1/23/2020,60
644457,AdClassSched_49305,1/18/2020,60
644457,AdClassSched_49305,2/2/2020,60
633222,AdClassSched_49004,2/5/2020,60
633222,AdClassSched_49004,1/22/2020,60
633222,AdClassSched_49004,2/12/2020,60
633222,AdClassSched_49004,1/15/2020,60
633222,AdClassSched_49004,1/29/2020,60
633222,AdClassSched_49004,2/19/2020,60
477485,AdClassSched_49349,2/14/2020,60
477485,AdClassSched_49349,2/22/2020,60
477485,AdClassSched_49349,1/22/2020,60
477485,AdClassSched_49349,1/18/2020,60
477485,AdClassSched_49349,1/31/2020,60
517318,AdClassSched_56994,2/3/2020,60
517318,AdClassSched_56994,2/16/2020,60
517318,AdClassSched_56994,1/17/2020,60
517318,AdClassSched_56994,1/21/2020,60
517318,AdClassSched_56994,2/21/2020,60
644439,AdClassSched_49305,2/11/2020,60
644439,AdClassSched_49305,2/24/2020,60
644439,AdClassSched_49305,2/3/2020,60
644439,AdClassSched_49305,2/17/2020,60
644439,AdClassSched_49305,1/20/2020,60
644439,AdClassSched_49305,1/16/2020,60
644439,AdClassSched_49305,1/27/2020,60
624331,AdClassSched_49004,2/5/2020,60
624331,AdClassSched_49004,1/22/2020,60
624331,AdClassSched_49004,2/12/2020,60
624331,AdClassSched_49004,1/15/2020,60
624331,AdClassSched_49004,1/29/2020,60
506291,AdClassSched_56994,2/8/2020,60
506291,AdClassSched_56994,2/15/2020,60
506291,AdClassSched_56994,2/3/2020,60
506291,AdClassSched_56994,2/22/2020,60
503333,AdClassSched_49350,1/29/2020,60
503333,AdClassSched_49350,2/21/2020,60
503333,AdClassSched_49350,1/21/2020,60
503333,AdClassSched_49350,1/13/2020,60
503333,AdClassSched_49350,2/14/2020,60
503333,AdClassSched_49350,2/5/2020,60
644454,AdClassSched_49306,2/25/2020,60
644454,AdClassSched_49306,2/5/2020,60
644454,AdClassSched_49306,2/19/2020,60
644454,AdClassSched_49306,1/26/2020,60
644454,AdClassSched_49306,1/20/2020,60
644454,AdClassSched_49306,1/31/2020,60
638664,AdClassSched_49004,2/7/2020,60
638664,AdClassSched_49004,1/22/2020,60
638664,AdClassSched_49004,2/12/2020,60
638664,AdClassSched_49004,1/18/2020,60
517718,AdClassSched_56994,2/12/2020,60
517718,AdClassSched_56994,1/20/2020,60
517718,AdClassSched_56994,1/31/2020,60
480666,AdClassSched_49350,1/28/2020,60
480666,AdClassSched_49350,2/18/2020,60
480666,AdClassSched_49350,1/21/2020,60
480666,AdClassSched_49350,1/16/2020,60
480666,AdClassSched_49350,2/10/2020,60
480666,AdClassSched_49350,2/5/2020,60
508311,AdClassSched_49306,2/12/2020,60
508311,AdClassSched_49306,2/4/2020,60
508311,AdClassSched_49306,2/17/2020,60
508311,AdClassSched_49306,1/27/2020,60
633263,AdClassSched_49004,2/5/2020,60
633263,AdClassSched_49004,1/22/2020,60
633263,AdClassSched_49004,2/10/2020,60
633263,AdClassSched_49004,2/25/2020,60
633263,AdClassSched_49004,1/16/2020,60
633263,AdClassSched_49004,1/29/2020,60
633263,AdClassSched_49004,2/21/2020,60
633861,AdClassSched_49004,2/13/2020,60
633861,AdClassSched_49004,2/3/2020,60
616150,AdClassSched_49352,1/31/2020,60
616150,AdClassSched_49352,2/17/2020,60
616150,AdClassSched_49352,1/27/2020,60
616150,AdClassSched_49352,2/10/2020,60
644445,AdClassSched_49306,2/13/2020,60
644445,AdClassSched_49306,2/24/2020,60
644445,AdClassSched_49306,2/3/2020,60
644445,AdClassSched_49306,2/17/2020,60
644445,AdClassSched_49306,1/22/2020,60
644445,AdClassSched_49306,1/13/2020,60
644445,AdClassSched_49306,1/27/2020,60
630033,AdClassSched_57001,2/3/2020,60
630033,AdClassSched_57001,2/21/2020,60
630033,AdClassSched_57001,2/10/2020,60
630033,AdClassSched_57001,1/31/2020,60
644455,AdClassSched_49306,2/12/2020,60
644455,AdClassSched_49306,2/24/2020,60
644455,AdClassSched_49306,2/3/2020,60
644455,AdClassSched_49306,2/17/2020,60
644455,AdClassSched_49306,1/21/2020,60
644455,AdClassSched_49306,1/15/2020,60
644455,AdClassSched_49306,1/28/2020,60
637914,AdClassSched_49004,2/5/2020,60
637914,AdClassSched_49004,1/22/2020,60
637914,AdClassSched_49004,2/12/2020,60
637914,AdClassSched_49004,2/20/2020,60
510061,AdClassSched_49352,1/28/2020,60
510061,AdClassSched_49352,2/17/2020,60
510061,AdClassSched_49352,2/25/2020,60
510061,AdClassSched_49352,1/21/2020,60
510061,AdClassSched_49352,1/14/2020,60
510061,AdClassSched_49352,2/11/2020,60
510061,AdClassSched_49352,2/4/2020,60
510697,AdClassSched_49352,2/2/2020,60
510697,AdClassSched_49352,2/23/2020,60
510697,AdClassSched_49352,1/24/2020,60
510697,AdClassSched_49352,1/16/2020,60
510697,AdClassSched_49352,2/16/2020,60
510697,AdClassSched_49352,2/8/2020,60
640771,AdClassSched_49004,1/22/2020,60
640771,AdClassSched_49004,2/19/2020,60
634820,AdClassSched_57005,2/19/2020,60
634820,AdClassSched_57005,1/28/2020,60
634820,AdClassSched_57005,1/24/2020,60
634820,AdClassSched_57005,2/12/2020,60
634820,AdClassSched_57005,2/24/2020,60
634820,AdClassSched_57005,2/7/2020,60
501360,AdClassSched_49306,2/11/2020,60
501360,AdClassSched_49306,2/4/2020,60
501360,AdClassSched_49306,2/17/2020,60
501360,AdClassSched_49306,1/23/2020,60
501360,AdClassSched_49306,1/15/2020,60
501360,AdClassSched_49306,1/30/2020,60
517828,AdClassSched_49352,2/3/2020,60
517828,AdClassSched_49352,2/25/2020,60
517828,AdClassSched_49352,1/25/2020,60
517828,AdClassSched_49352,2/10/2020,60
633495,AdClassSched_49006,2/5/2020,60
633495,AdClassSched_49006,1/22/2020,60
633495,AdClassSched_49006,2/12/2020,60
633495,AdClassSched_49006,1/19/2020,60
633495,AdClassSched_49006,1/29/2020,60
633495,AdClassSched_49006,2/19/2020,60
631896,AdClassSched_57006,1/28/2020,60
631896,AdClassSched_57006,1/26/2020,60
631896,AdClassSched_57006,2/19/2020,60
631896,AdClassSched_57006,2/4/2020,60
